country,iso3,file_id,failure_reason,source_url
Philippines,PHL,phl_2023_philippine_statistical_development_progr,HTTP 403,https://psa.gov.ph/philippine-statistical-system/psdp/primer/2023-2029
Papua New Guinea,PNG,png_2018_strategy_for_the_development_of_statisti,HTTP 403,https://png-data.sprep.org/dataset/strategy-development-statistics-2018-2027
Qatar,QAT,qat_2008_national_strategy_for_the_development_of,Timeout,https://www.psa.gov.qa/en/knowledge/Doc/Documents/NSDS__2008_EN.pdf
Romania,ROU,rou_2021_the_national_statistical_system_developm,Connection error,https://insse.ro/cms/files/legislatie/Initiative%20legislative/2022/Proiect_strategie_2022-2027_final_30.03.2022.pdf
Russian Federation,RUS,rus_2019_2024_rosstat_development_strategy_strate,Connection error,https://eng.rosstat.gov.ru/storage/2020/01-30/5fKftnzF/Strategy%202024.pdf
Rwanda,RWA,rwa_2024_national_strategy_for_the_development_of,Connection error,https://alpha.statistics.gov.rw/sites/default/files/documents/2025-05/NSDS4%20%282024_2029%29.pdf
Saudi Arabia,SAU,sau_2030_national_strategy_for_the_statistical_de,HTTP 404,https://www.stats.gov.sa/en/page/63
Senegal,SEN,sen_2019_troisieme_stratégie_nationale_de_dévelop,Connection error,https://www.ansd.sn/sites/default/files/2022-04/Rapport-final-SNDS-III%20%282%29.pdf
Solomon Islands,SLB,slb_2015_national_strategy_for_the_development_of,Connection error,https://www.statistics.gov.sb/sinso-documents?view=download&format=raw&fileId=614
Sierra Leone,SLE,sle_2022_extended_second_national_strategy_for_th,HTTP 403,http://www.statistics.sl/images/StatisticsSL/Documents/Extended-Second-National-Strategy-for-the-Development-of-Statistics_E-NSDSII.pdf
Somalia,SOM,som_2024_national_strategy_for_the_development_of,HTTP 504,https://info.undp.org/docs/pdc/Documents/SOM/Final%20Report-Mohamed%20Barre-Strategic%20Plan%20%20(1).pdf
Seychelles,SYC,syc_2023_national_strategic_plan_for_statistics_2,HTTP 403,https://www.nbs.gov.sc/about/nbs-plans/1465-seychelles-nsps-2023-2027/viewdocument/1465
Tajikistan,TJK,tjk_2020_national_strategy_for_the_development_of,HTTP 404,https://stat.tj/storage/files/nsds_to_2030.pdf
Tonga,TON,ton_2019_tonga_strategy_for_development_of_statis,HTTP 403,https://paris21.org/sites/default/files/2018-11/Tonga-NSDS 2018.pdf
Uganda,UGA,uga_2020_third_plan_for_national_statistical_deve,Connection error,https://www.ubos.org/wp-content/uploads/publications/08_2021THIRD_PLAN_FOR_NATIONAL_STATISTICAL_DEVELOPMENT_FY2020_21_FY2024_25.pdf
Uruguay,URY,ury_2022_plan_estadístico_nacional_20222025,Connection error,https://www5.ine.gub.uy/documents/SEN/Plan%20Estad%C3%ADstico%20Nacional/Plan%20Estad%C3%ADstico%20Nacional%202022%202025.pdf
Vietnam,VNM,vnm_2011_vietnam_statistical_development_strategy,HTTP 403,http://paris21.org/sites/default/files/VIETNAM_roadmap_E-final.pdf
Vanuatu,VUT,vut_2024_national_strategy_for_the_development_of,HTTP 404,https://vbos.gov.vu/sites/default/files/NSDS%20Strategy%202024-2028.pdf
Zimbabwe,ZWE,zwe_2021_national_strategy_for_the_development_of,Timeout,https://www.zimstat.co.zw/wp-content/uploads/NSS/National_stategy_for_the_development_of_statistics_Final_25012024.pdf
Kenya,KEN,ken_gender_stats_plan,Connection error,https://www.knbs.or.ke/gender-sector-statistics-plan/
